development server only. no energy number from this machine means anything.
model models/Qwen3-1.7B-BF16.gguf
ctx   3072  (config.CTX_SIZE is 3072)
flags --n-gpu-layers 999 --parallel 1 --no-context-shift --no-mmap --no-cont-batching
0.00.083.827 W DEPRECATED: --mmap and --no-mmap are deprecated. use --load-mode mmap instead
0.00.083.990 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.084.723 W srv  llama_server: -----------------
0.00.084.724 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.084.724 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.084.725 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.084.725 W srv  llama_server: -----------------
0.00.086.185 I srv    load_model: loading model 'models/Qwen3-1.7B-BF16.gguf'
0.00.280.154 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.02.414.293 I cmn          init: llama threadpool init, n_threads = 8
0.02.476.643 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 3072, kv_unified = 'false'
0.02.483.404 I srv  llama_server: model loaded
0.02.483.419 I srv  llama_server: listening on http://127.0.0.1:8080
0.02.483.420 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.02.483.420 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
7.34.746.879 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
53.00.051.205 I slot print_timing: id  0 | task 49979 | prompt eval time =     178.54 ms /   290 tokens (    0.62 ms per token,  1624.25 tokens per second)
53.00.051.207 I slot print_timing: id  0 | task 49979 |        eval time =      62.91 ms /     5 tokens (   15.73 ms per token,    63.58 tokens per second)
53.00.051.207 I slot print_timing: id  0 | task 49979 |       total time =     241.46 ms /   295 tokens
53.00.051.208 I slot print_timing: id  0 | task 49979 |    graphs reused =      49012
53.00.051.224 I slot      release: id  0 | task 49979 | stop processing: n_tokens = 294, truncated = 0
53.00.052.274 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588411661901
53.00.057.576 I slot launch_slot_: id  0 | task 49985 | processing task, is_child = 0
53.01.950.844 I slot print_timing: id  0 | task 49985 | prompt eval time =     111.83 ms /   192 tokens (    0.58 ms per token,  1716.89 tokens per second)
53.01.950.847 I slot print_timing: id  0 | task 49985 |        eval time =    1781.43 ms /   115 tokens (   15.63 ms per token,    63.99 tokens per second)
53.01.950.847 I slot print_timing: id  0 | task 49985 |       total time =    1893.26 ms /   307 tokens
53.01.950.848 I slot print_timing: id  0 | task 49985 |    graphs reused =      49124
53.01.950.868 I slot      release: id  0 | task 49985 | stop processing: n_tokens = 306, truncated = 0
53.01.952.411 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588413561545
53.01.954.401 I slot launch_slot_: id  0 | task 50101 | processing task, is_child = 0
53.02.181.743 I slot print_timing: id  0 | task 50101 | prompt eval time =     164.04 ms /   280 tokens (    0.59 ms per token,  1706.90 tokens per second)
53.02.181.745 I slot print_timing: id  0 | task 50101 |        eval time =      63.30 ms /     5 tokens (   15.82 ms per token,    63.20 tokens per second)
53.02.181.745 I slot print_timing: id  0 | task 50101 |       total time =     227.34 ms /   285 tokens
53.02.181.746 I slot print_timing: id  0 | task 50101 |    graphs reused =      49127
53.02.181.760 I slot      release: id  0 | task 50101 | stop processing: n_tokens = 284, truncated = 0
53.02.182.852 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588413792437
53.02.184.409 I slot launch_slot_: id  0 | task 50107 | processing task, is_child = 0
53.05.312.348 I slot print_timing: id  0 | task 50107 | n_gen =    194, tg =  64.02 t/s, tg_3s =  64.35 t/s
53.07.344.687 I slot print_timing: id  0 | task 50107 | prompt eval time =     113.26 ms /   179 tokens (    0.63 ms per token,  1580.46 tokens per second)
53.07.344.689 I slot print_timing: id  0 | task 50107 |        eval time =    5047.01 ms /   323 tokens (   15.67 ms per token,    63.80 tokens per second)
53.07.344.690 I slot print_timing: id  0 | task 50107 |       total time =    5160.27 ms /   502 tokens
53.07.344.690 I slot print_timing: id  0 | task 50107 |    graphs reused =      49447
53.07.344.715 I slot      release: id  0 | task 50107 | stop processing: n_tokens = 501, truncated = 0
53.07.346.100 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588418955392
53.07.351.951 I slot launch_slot_: id  0 | task 50431 | processing task, is_child = 0
53.10.394.821 I slot print_timing: id  0 | task 50431 | prompt eval time =     273.68 ms /   475 tokens (    0.58 ms per token,  1735.62 tokens per second)
53.10.394.826 I slot print_timing: id  0 | task 50431 |        eval time =    2769.18 ms /   178 tokens (   15.65 ms per token,    63.92 tokens per second)
53.10.394.827 I slot print_timing: id  0 | task 50431 |       total time =    3042.86 ms /   653 tokens
53.10.394.827 I slot print_timing: id  0 | task 50431 |    graphs reused =      49622
53.10.394.846 I slot      release: id  0 | task 50431 | stop processing: n_tokens = 652, truncated = 0
53.10.396.403 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588422005523
53.10.410.223 I slot launch_slot_: id  0 | task 50610 | processing task, is_child = 0
53.13.056.104 I slot print_timing: id  0 | task 50610 | prompt eval time =     463.02 ms /   687 tokens (    0.67 ms per token,  1483.72 tokens per second)
53.13.056.106 I slot print_timing: id  0 | task 50610 |        eval time =    2182.84 ms /   142 tokens (   15.48 ms per token,    64.59 tokens per second)
53.13.056.106 I slot print_timing: id  0 | task 50610 |       total time =    2645.87 ms /   829 tokens
53.13.056.107 I slot print_timing: id  0 | task 50610 |    graphs reused =      49761
53.13.056.133 I slot      release: id  0 | task 50610 | stop processing: n_tokens = 828, truncated = 0
53.13.057.511 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588424666811
53.13.069.614 I slot launch_slot_: id  0 | task 50753 | processing task, is_child = 0
53.13.372.755 I slot print_timing: id  0 | task 50753 | prompt eval time =     225.58 ms /   294 tokens (    0.77 ms per token,  1303.31 tokens per second)
53.13.372.756 I slot print_timing: id  0 | task 50753 |        eval time =      77.55 ms /     6 tokens (   15.51 ms per token,    64.47 tokens per second)
53.13.372.757 I slot print_timing: id  0 | task 50753 |       total time =     303.13 ms /   300 tokens
53.13.372.757 I slot print_timing: id  0 | task 50753 |    graphs reused =      49765
53.13.372.772 I slot      release: id  0 | task 50753 | stop processing: n_tokens = 299, truncated = 0
53.13.374.105 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588424983449
53.13.374.939 I slot launch_slot_: id  0 | task 50760 | processing task, is_child = 0
53.15.849.068 I slot print_timing: id  0 | task 50760 | prompt eval time =     260.39 ms /   334 tokens (    0.78 ms per token,  1282.69 tokens per second)
53.15.849.070 I slot print_timing: id  0 | task 50760 |        eval time =    2213.73 ms /   145 tokens (   15.37 ms per token,    65.05 tokens per second)
53.15.849.070 I slot print_timing: id  0 | task 50760 |       total time =    2474.12 ms /   479 tokens
53.15.849.070 I slot print_timing: id  0 | task 50760 |    graphs reused =      49908
53.15.849.088 I slot      release: id  0 | task 50760 | stop processing: n_tokens = 478, truncated = 0
53.15.850.259 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588427459767
53.15.854.171 I slot launch_slot_: id  0 | task 50906 | processing task, is_child = 0
53.19.090.289 I slot print_timing: id  0 | task 50906 | n_gen =    197, tg =  65.09 t/s, tg_3s =  65.43 t/s
53.21.069.742 I slot print_timing: id  0 | task 50906 | prompt eval time =     225.09 ms /   297 tokens (    0.76 ms per token,  1319.50 tokens per second)
53.21.069.749 I slot print_timing: id  0 | task 50906 |        eval time =    4990.48 ms /   323 tokens (   15.50 ms per token,    64.52 tokens per second)
53.21.069.749 I slot print_timing: id  0 | task 50906 |       total time =    5215.56 ms /   620 tokens
53.21.069.752 I slot print_timing: id  0 | task 50906 |    graphs reused =      50228
53.21.069.769 I slot      release: id  0 | task 50906 | stop processing: n_tokens = 619, truncated = 0
53.21.071.013 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588432680445
53.21.080.817 I slot launch_slot_: id  0 | task 51230 | processing task, is_child = 0
53.23.091.832 I slot print_timing: id  0 | task 51230 | prompt eval time =     123.46 ms /   166 tokens (    0.74 ms per token,  1344.53 tokens per second)
53.23.091.834 I slot print_timing: id  0 | task 51230 |        eval time =    1887.54 ms /   122 tokens (   15.60 ms per token,    64.10 tokens per second)
53.23.091.835 I slot print_timing: id  0 | task 51230 |       total time =    2011.00 ms /   288 tokens
53.23.091.835 I slot print_timing: id  0 | task 51230 |    graphs reused =      50347
53.23.091.849 I slot      release: id  0 | task 51230 | stop processing: n_tokens = 287, truncated = 0
53.23.093.017 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588434702525
53.23.095.135 I slot launch_slot_: id  0 | task 51353 | processing task, is_child = 0
53.23.321.886 I slot print_timing: id  0 | task 51353 | prompt eval time =     163.21 ms /   261 tokens (    0.63 ms per token,  1599.21 tokens per second)
53.23.321.889 I slot print_timing: id  0 | task 51353 |        eval time =      63.53 ms /     5 tokens (   15.88 ms per token,    62.96 tokens per second)
53.23.321.890 I slot print_timing: id  0 | task 51353 |       total time =     226.74 ms /   266 tokens
53.23.321.890 I slot print_timing: id  0 | task 51353 |    graphs reused =      50350
53.23.321.905 I slot      release: id  0 | task 51353 | stop processing: n_tokens = 265, truncated = 0
53.23.323.032 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588434932582
53.23.327.074 I slot launch_slot_: id  0 | task 51359 | processing task, is_child = 0
53.25.806.754 I slot print_timing: id  0 | task 51359 | prompt eval time =     113.03 ms /   181 tokens (    0.62 ms per token,  1601.40 tokens per second)
53.25.806.757 I slot print_timing: id  0 | task 51359 |        eval time =    2366.64 ms /   153 tokens (   15.57 ms per token,    64.23 tokens per second)
53.25.806.758 I slot print_timing: id  0 | task 51359 |       total time =    2479.67 ms /   334 tokens
53.25.806.758 I slot print_timing: id  0 | task 51359 |    graphs reused =      50500
53.25.806.772 I slot      release: id  0 | task 51359 | stop processing: n_tokens = 333, truncated = 0
53.25.808.017 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588437417449
53.25.810.459 I slot launch_slot_: id  0 | task 51513 | processing task, is_child = 0
53.26.053.028 I slot print_timing: id  0 | task 51513 | prompt eval time =     179.82 ms /   307 tokens (    0.59 ms per token,  1707.22 tokens per second)
53.26.053.031 I slot print_timing: id  0 | task 51513 |        eval time =      62.74 ms /     5 tokens (   15.69 ms per token,    63.76 tokens per second)
53.26.053.031 I slot print_timing: id  0 | task 51513 |       total time =     242.56 ms /   312 tokens
53.26.053.032 I slot print_timing: id  0 | task 51513 |    graphs reused =      50503
53.26.053.047 I slot      release: id  0 | task 51513 | stop processing: n_tokens = 311, truncated = 0
53.26.054.201 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588437663723
53.26.059.715 I slot launch_slot_: id  0 | task 51519 | processing task, is_child = 0
53.29.184.985 I slot print_timing: id  0 | task 51519 | n_gen =    194, tg =  64.05 t/s, tg_3s =  64.38 t/s
53.29.311.046 I slot print_timing: id  0 | task 51519 | prompt eval time =     112.03 ms /   180 tokens (    0.62 ms per token,  1606.73 tokens per second)
53.29.311.049 I slot print_timing: id  0 | task 51519 |        eval time =    3139.29 ms /   202 tokens (   15.62 ms per token,    64.03 tokens per second)
53.29.311.049 I slot print_timing: id  0 | task 51519 |       total time =    3251.32 ms /   382 tokens
53.29.311.049 I slot print_timing: id  0 | task 51519 |    graphs reused =      50702
53.29.311.064 I slot      release: id  0 | task 51519 | stop processing: n_tokens = 381, truncated = 0
53.29.312.827 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588440921740
53.29.316.310 I slot launch_slot_: id  0 | task 51722 | processing task, is_child = 0
53.31.992.770 I slot print_timing: id  0 | task 51722 | prompt eval time =     215.35 ms /   355 tokens (    0.61 ms per token,  1648.50 tokens per second)
53.31.992.772 I slot print_timing: id  0 | task 51722 |        eval time =    2461.11 ms /   157 tokens (   15.78 ms per token,    63.39 tokens per second)
53.31.992.773 I slot print_timing: id  0 | task 51722 |       total time =    2676.45 ms /   512 tokens
53.31.992.773 I slot print_timing: id  0 | task 51722 |    graphs reused =      50857
53.31.992.793 I slot      release: id  0 | task 51722 | stop processing: n_tokens = 511, truncated = 0
53.31.994.399 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588443603470
53.32.009.133 I slot launch_slot_: id  0 | task 51880 | processing task, is_child = 0
53.33.419.083 I slot print_timing: id  0 | task 51880 | prompt eval time =     329.36 ms /   546 tokens (    0.60 ms per token,  1657.76 tokens per second)
53.33.419.085 I slot print_timing: id  0 | task 51880 |        eval time =    1080.58 ms /    69 tokens (   15.89 ms per token,    62.93 tokens per second)
53.33.419.085 I slot print_timing: id  0 | task 51880 |       total time =    1409.94 ms /   615 tokens
53.33.419.085 I slot print_timing: id  0 | task 51880 |    graphs reused =      50924
53.33.419.109 I slot      release: id  0 | task 51880 | stop processing: n_tokens = 614, truncated = 0
53.33.420.388 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588445029785
53.33.439.150 I slot launch_slot_: id  0 | task 51950 | processing task, is_child = 0
53.33.651.996 I slot print_timing: id  0 | task 51950 | prompt eval time =     133.76 ms /   222 tokens (    0.60 ms per token,  1659.74 tokens per second)
53.33.651.998 I slot print_timing: id  0 | task 51950 |        eval time =      79.07 ms /     6 tokens (   15.81 ms per token,    63.23 tokens per second)
53.33.651.998 I slot print_timing: id  0 | task 51950 |       total time =     212.83 ms /   228 tokens
53.33.651.998 I slot print_timing: id  0 | task 51950 |    graphs reused =      50928
53.33.652.013 I slot      release: id  0 | task 51950 | stop processing: n_tokens = 227, truncated = 0
53.33.653.201 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588445262690
53.33.655.611 I slot launch_slot_: id  0 | task 51957 | processing task, is_child = 0
53.34.886.808 I slot print_timing: id  0 | task 51957 | prompt eval time =     168.48 ms /   262 tokens (    0.64 ms per token,  1555.08 tokens per second)
53.34.886.818 I slot print_timing: id  0 | task 51957 |        eval time =    1062.71 ms /    69 tokens (   15.63 ms per token,    63.99 tokens per second)
53.34.886.818 I slot print_timing: id  0 | task 51957 |       total time =    1231.19 ms /   331 tokens
53.34.886.820 I slot print_timing: id  0 | task 51957 |    graphs reused =      50995
53.34.886.834 I slot      release: id  0 | task 51957 | stop processing: n_tokens = 330, truncated = 0
53.34.888.002 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588446497511
53.34.889.408 I slot launch_slot_: id  0 | task 52027 | processing task, is_child = 0
53.35.094.949 I slot print_timing: id  0 | task 52027 | prompt eval time =     126.95 ms /   222 tokens (    0.57 ms per token,  1748.73 tokens per second)
53.35.094.952 I slot print_timing: id  0 | task 52027 |        eval time =      78.58 ms /     6 tokens (   15.72 ms per token,    63.63 tokens per second)
53.35.094.952 I slot print_timing: id  0 | task 52027 |       total time =     205.53 ms /   228 tokens
53.35.094.953 I slot print_timing: id  0 | task 52027 |    graphs reused =      50999
53.35.094.966 I slot      release: id  0 | task 52027 | stop processing: n_tokens = 227, truncated = 0
53.35.095.987 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588446705643
53.35.097.386 I slot launch_slot_: id  0 | task 52034 | processing task, is_child = 0
53.37.406.617 I slot print_timing: id  0 | task 52034 | prompt eval time =     109.83 ms /   169 tokens (    0.65 ms per token,  1538.80 tokens per second)
53.37.406.622 I slot print_timing: id  0 | task 52034 |        eval time =    2199.40 ms /   142 tokens (   15.60 ms per token,    64.11 tokens per second)
53.37.406.623 I slot print_timing: id  0 | task 52034 |       total time =    2309.22 ms /   311 tokens
53.37.406.623 I slot print_timing: id  0 | task 52034 |    graphs reused =      51138
53.37.406.637 I slot      release: id  0 | task 52034 | stop processing: n_tokens = 310, truncated = 0
53.37.407.773 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588449017313
53.37.410.200 I slot launch_slot_: id  0 | task 52177 | processing task, is_child = 0
53.37.635.095 I slot print_timing: id  0 | task 52177 | prompt eval time =     161.75 ms /   284 tokens (    0.57 ms per token,  1755.81 tokens per second)
53.37.635.098 I slot print_timing: id  0 | task 52177 |        eval time =      63.14 ms /     5 tokens (   15.79 ms per token,    63.35 tokens per second)
53.37.635.098 I slot print_timing: id  0 | task 52177 |       total time =     224.89 ms /   289 tokens
53.37.635.099 I slot print_timing: id  0 | task 52177 |    graphs reused =      51141
53.37.635.114 I slot      release: id  0 | task 52177 | stop processing: n_tokens = 288, truncated = 0
53.37.636.156 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588449245791
53.37.637.718 I slot launch_slot_: id  0 | task 52183 | processing task, is_child = 0
53.38.982.272 I slot print_timing: id  0 | task 52183 | prompt eval time =     111.73 ms /   186 tokens (    0.60 ms per token,  1664.77 tokens per second)
53.38.982.274 I slot print_timing: id  0 | task 52183 |        eval time =    1232.82 ms /    80 tokens (   15.61 ms per token,    64.08 tokens per second)
53.38.982.275 I slot print_timing: id  0 | task 52183 |       total time =    1344.55 ms /   266 tokens
53.38.982.275 I slot print_timing: id  0 | task 52183 |    graphs reused =      51218
53.38.982.296 I slot      release: id  0 | task 52183 | stop processing: n_tokens = 265, truncated = 0
53.38.983.436 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588450592973
53.38.985.402 I slot launch_slot_: id  0 | task 52264 | processing task, is_child = 0
53.39.193.751 I slot print_timing: id  0 | task 52264 | prompt eval time =     145.22 ms /   239 tokens (    0.61 ms per token,  1645.81 tokens per second)
53.39.193.753 I slot print_timing: id  0 | task 52264 |        eval time =      63.13 ms /     5 tokens (   15.78 ms per token,    63.37 tokens per second)
53.39.193.753 I slot print_timing: id  0 | task 52264 |       total time =     208.34 ms /   244 tokens
53.39.193.754 I slot print_timing: id  0 | task 52264 |    graphs reused =      51221
53.39.193.768 I slot      release: id  0 | task 52264 | stop processing: n_tokens = 243, truncated = 0
53.39.194.815 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588450804445
53.39.195.962 I slot launch_slot_: id  0 | task 52270 | processing task, is_child = 0
53.40.632.236 I slot print_timing: id  0 | task 52270 | prompt eval time =     111.92 ms /   169 tokens (    0.66 ms per token,  1509.94 tokens per second)
53.40.632.241 I slot print_timing: id  0 | task 52270 |        eval time =    1324.34 ms /    86 tokens (   15.58 ms per token,    64.18 tokens per second)
53.40.632.242 I slot print_timing: id  0 | task 52270 |       total time =    1436.27 ms /   255 tokens
53.40.632.242 I slot print_timing: id  0 | task 52270 |    graphs reused =      51305
53.40.632.255 I slot      release: id  0 | task 52270 | stop processing: n_tokens = 254, truncated = 0
53.40.633.316 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588452242931
53.40.635.200 I slot launch_slot_: id  0 | task 52357 | processing task, is_child = 0
53.40.842.158 I slot print_timing: id  0 | task 52357 | prompt eval time =     143.71 ms /   228 tokens (    0.63 ms per token,  1586.56 tokens per second)
53.40.842.160 I slot print_timing: id  0 | task 52357 |        eval time =      63.25 ms /     5 tokens (   15.81 ms per token,    63.24 tokens per second)
53.40.842.161 I slot print_timing: id  0 | task 52357 |       total time =     206.95 ms /   233 tokens
53.40.842.161 I slot print_timing: id  0 | task 52357 |    graphs reused =      51308
53.40.842.175 I slot      release: id  0 | task 52357 | stop processing: n_tokens = 232, truncated = 0
53.40.843.189 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588452452851
53.40.844.312 I slot launch_slot_: id  0 | task 52363 | processing task, is_child = 0
53.43.324.033 I slot print_timing: id  0 | task 52363 | prompt eval time =     112.35 ms /   190 tokens (    0.59 ms per token,  1691.17 tokens per second)
53.43.324.036 I slot print_timing: id  0 | task 52363 |        eval time =    2367.37 ms /   156 tokens (   15.27 ms per token,    65.47 tokens per second)
53.43.324.037 I slot print_timing: id  0 | task 52363 |       total time =    2479.72 ms /   346 tokens
53.43.324.037 I slot print_timing: id  0 | task 52363 |    graphs reused =      51461
53.43.324.058 I slot      release: id  0 | task 52363 | stop processing: n_tokens = 345, truncated = 0
53.43.325.287 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588454934736
53.43.326.814 I slot launch_slot_: id  0 | task 52520 | processing task, is_child = 0
53.46.072.909 I slot print_timing: id  0 | task 52520 | prompt eval time =     221.36 ms /   319 tokens (    0.69 ms per token,  1441.11 tokens per second)
53.46.072.911 I slot print_timing: id  0 | task 52520 |        eval time =    2524.73 ms /   165 tokens (   15.39 ms per token,    64.96 tokens per second)
53.46.072.917 I slot print_timing: id  0 | task 52520 |       total time =    2746.09 ms /   484 tokens
53.46.072.917 I slot print_timing: id  0 | task 52520 |    graphs reused =      51624
53.46.072.935 I slot      release: id  0 | task 52520 | stop processing: n_tokens = 483, truncated = 0
53.46.074.377 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588457683614
53.46.076.245 I slot launch_slot_: id  0 | task 52686 | processing task, is_child = 0
53.48.086.116 I slot print_timing: id  0 | task 52686 | prompt eval time =     430.42 ms /   518 tokens (    0.83 ms per token,  1203.49 tokens per second)
53.48.086.118 I slot print_timing: id  0 | task 52686 |        eval time =    1579.44 ms /   103 tokens (   15.48 ms per token,    64.58 tokens per second)
53.48.086.119 I slot print_timing: id  0 | task 52686 |       total time =    2009.86 ms /   621 tokens
53.48.086.119 I slot print_timing: id  0 | task 52686 |    graphs reused =      51725
53.48.086.138 I slot      release: id  0 | task 52686 | stop processing: n_tokens = 620, truncated = 0
53.48.087.286 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588459696816
53.48.099.178 I slot launch_slot_: id  0 | task 52790 | processing task, is_child = 0
53.48.368.812 I slot print_timing: id  0 | task 52790 | prompt eval time =     206.70 ms /   266 tokens (    0.78 ms per token,  1286.86 tokens per second)
53.48.368.814 I slot print_timing: id  0 | task 52790 |        eval time =      62.92 ms /     5 tokens (   15.73 ms per token,    63.57 tokens per second)
53.48.368.814 I slot print_timing: id  0 | task 52790 |       total time =     269.62 ms /   271 tokens
53.48.368.815 I slot print_timing: id  0 | task 52790 |    graphs reused =      51728
53.48.368.874 I slot      release: id  0 | task 52790 | stop processing: n_tokens = 270, truncated = 0
53.48.369.968 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588459979552
53.48.370.875 I slot launch_slot_: id  0 | task 52796 | processing task, is_child = 0
53.51.545.505 I slot print_timing: id  0 | task 52796 | n_gen =    198, tg =  65.44 t/s, tg_3s =  65.78 t/s
53.53.671.148 I slot print_timing: id  0 | task 52796 | prompt eval time =     164.43 ms /   193 tokens (    0.85 ms per token,  1173.79 tokens per second)
53.53.671.150 I slot print_timing: id  0 | task 52796 |        eval time =    5135.84 ms /   333 tokens (   15.47 ms per token,    64.64 tokens per second)
53.53.671.151 I slot print_timing: id  0 | task 52796 |       total time =    5300.26 ms /   526 tokens
53.53.671.151 I slot print_timing: id  0 | task 52796 |    graphs reused =      52057
53.53.671.166 I slot      release: id  0 | task 52796 | stop processing: n_tokens = 525, truncated = 0
53.53.672.514 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588465281842
53.53.678.198 I slot launch_slot_: id  0 | task 53130 | processing task, is_child = 0
53.56.992.669 I slot print_timing: id  0 | task 53130 | n_gen =    191, tg =  63.06 t/s, tg_3s =  63.39 t/s
53.59.997.128 I slot print_timing: id  0 | task 53130 | n_gen =    380, tg =  62.98 t/s, tg_3s =  62.91 t/s
54.02.110.359 I slot print_timing: id  0 | task 53130 | prompt eval time =     301.44 ms /   499 tokens (    0.60 ms per token,  1655.37 tokens per second)
54.02.110.361 I slot print_timing: id  0 | task 53130 |        eval time =    8130.71 ms /   512 tokens (   15.91 ms per token,    62.85 tokens per second)
54.02.110.361 I slot print_timing: id  0 | task 53130 |       total time =    8432.15 ms /  1011 tokens
54.02.110.362 I slot print_timing: id  0 | task 53130 |    graphs reused =      52565
54.02.110.383 I slot      release: id  0 | task 53130 | stop processing: n_tokens = 1010, truncated = 0
54.02.114.381 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588473721059
54.02.127.109 I slot launch_slot_: id  0 | task 53643 | processing task, is_child = 0
54.03.579.159 I slot print_timing: id  0 | task 53643 | prompt eval time =     645.41 ms /  1046 tokens (    0.62 ms per token,  1620.67 tokens per second)
54.03.579.161 I slot print_timing: id  0 | task 53643 |        eval time =     806.63 ms /    51 tokens (   16.13 ms per token,    61.99 tokens per second)
54.03.579.161 I slot print_timing: id  0 | task 53643 |       total time =    1452.04 ms /  1097 tokens
54.03.579.161 I slot print_timing: id  0 | task 53643 |    graphs reused =      52614
54.03.579.194 I slot      release: id  0 | task 53643 | stop processing: n_tokens = 1096, truncated = 0
54.03.581.513 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588475189870
54.03.598.413 I slot launch_slot_: id  0 | task 53695 | processing task, is_child = 0
54.03.805.897 I slot print_timing: id  0 | task 53695 | prompt eval time =     128.69 ms /   217 tokens (    0.59 ms per token,  1686.17 tokens per second)
54.03.805.899 I slot print_timing: id  0 | task 53695 |        eval time =      78.78 ms /     6 tokens (   15.76 ms per token,    63.47 tokens per second)
54.03.805.900 I slot print_timing: id  0 | task 53695 |       total time =     207.47 ms /   223 tokens
54.03.805.900 I slot print_timing: id  0 | task 53695 |    graphs reused =      52618
54.03.805.920 I slot      release: id  0 | task 53695 | stop processing: n_tokens = 222, truncated = 0
54.03.807.425 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588475416597
54.03.817.307 I slot launch_slot_: id  0 | task 53702 | processing task, is_child = 0
54.06.983.328 I slot print_timing: id  0 | task 53702 | n_gen =    193, tg =  63.94 t/s, tg_3s =  64.28 t/s
54.09.448.263 I slot print_timing: id  0 | task 53702 | prompt eval time =     163.42 ms /   257 tokens (    0.64 ms per token,  1572.62 tokens per second)
54.09.448.265 I slot print_timing: id  0 | task 53702 |        eval time =    5467.52 ms /   349 tokens (   15.71 ms per token,    63.65 tokens per second)
54.09.448.265 I slot print_timing: id  0 | task 53702 |       total time =    5630.94 ms /   606 tokens
54.09.448.266 I slot print_timing: id  0 | task 53702 |    graphs reused =      52964
54.09.448.282 I slot      release: id  0 | task 53702 | stop processing: n_tokens = 605, truncated = 0
54.09.451.044 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588481058959
54.09.461.725 I slot launch_slot_: id  0 | task 54052 | processing task, is_child = 0
54.11.311.625 I slot print_timing: id  0 | task 54052 | prompt eval time =     313.87 ms /   515 tokens (    0.61 ms per token,  1640.83 tokens per second)
54.11.311.628 I slot print_timing: id  0 | task 54052 |        eval time =    1536.02 ms /    98 tokens (   15.84 ms per token,    63.15 tokens per second)
54.11.311.628 I slot print_timing: id  0 | task 54052 |       total time =    1849.89 ms /   613 tokens
54.11.311.628 I slot print_timing: id  0 | task 54052 |    graphs reused =      53060
54.11.311.649 I slot      release: id  0 | task 54052 | stop processing: n_tokens = 612, truncated = 0
54.11.313.742 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7588482922325
54.11.322.606 I slot launch_slot_: id  0 | task 54151 | processing task, is_child = 0
54.13.011.606 I slot print_timing: id  0 | task 54151 | prompt eval time =     129.21 ms /   199 tokens (    0.65 ms per token,  1540.15 tokens per second)
54.13.011.608 I slot print_timing: id  0 | task 54151 |        eval time =    1559.78 ms /   101 tokens (   15.60 ms per token,    64.11 tokens per second)
54.13.011.608 I slot print_timing: id  0 | task 54151 |       total time =    1688.99 ms /   300 tokens
54.13.011.609 I slot print_timing: id  0 | task 54151 |    graphs reused =      53158
